,family,father,mother,gender,height,kids,male,female
0,1,78.5,67.0,M,73.2,4,1.0,0.0
1,1,78.5,67.0,F,69.2,4,0.0,1.0
2,1,78.5,67.0,F,69.0,4,0.0,1.0
3,1,78.5,67.0,F,69.0,4,0.0,1.0
4,2,75.5,66.5,M,73.5,4,1.0,0.0
5,2,75.5,66.5,M,72.5,4,1.0,0.0
6,2,75.5,66.5,F,65.5,4,0.0,1.0
7,2,75.5,66.5,F,65.5,4,0.0,1.0
8,3,75.0,64.0,M,71.0,2,1.0,0.0
9,3,75.0,64.0,F,68.0,2,0.0,1.0
10,4,75.0,64.0,M,70.5,5,1.0,0.0
11,4,75.0,64.0,M,68.5,5,1.0,0.0
12,4,75.0,64.0,F,67.0,5,0.0,1.0
13,4,75.0,64.0,F,64.5,5,0.0,1.0
14,4,75.0,64.0,F,63.0,5,0.0,1.0
15,5,75.0,58.5,M,72.0,6,1.0,0.0
16,5,75.0,58.5,M,69.0,6,1.0,0.0
17,5,75.0,58.5,M,68.0,6,1.0,0.0
18,5,75.0,58.5,F,66.5,6,0.0,1.0
19,5,75.0,58.5,F,62.5,6,0.0,1.0
20,5,75.0,58.5,F,62.5,6,0.0,1.0
21,6,74.0,68.0,F,69.5,1,0.0,1.0
22,7,74.0,68.0,M,76.5,6,1.0,0.0
23,7,74.0,68.0,M,74.0,6,1.0,0.0
24,7,74.0,68.0,M,73.0,6,1.0,0.0
25,7,74.0,68.0,M,73.0,6,1.0,0.0
26,7,74.0,68.0,F,70.5,6,0.0,1.0
27,7,74.0,68.0,F,64.0,6,0.0,1.0
28,8,74.0,66.5,F,70.5,3,0.0,1.0
29,8,74.0,66.5,F,68.0,3,0.0,1.0
30,8,74.0,66.5,F,66.0,3,0.0,1.0
31,9,74.5,66.0,F,66.0,1,0.0,1.0
32,10,74.0,65.5,F,65.5,1,0.0,1.0
33,11,74.0,62.0,M,74.0,8,1.0,0.0
34,11,74.0,62.0,M,70.0,8,1.0,0.0
35,11,74.0,62.0,F,68.0,8,0.0,1.0
36,11,74.0,62.0,F,67.0,8,0.0,1.0
37,11,74.0,62.0,F,67.0,8,0.0,1.0
38,11,74.0,62.0,F,66.0,8,0.0,1.0
39,11,74.0,62.0,F,63.5,8,0.0,1.0
40,11,74.0,62.0,F,63.0,8,0.0,1.0
41,12,74.0,61.0,F,65.0,1,0.0,1.0
42,14,73.0,67.0,M,68.0,2,1.0,0.0
43,14,73.0,67.0,M,67.0,2,1.0,0.0
44,15,73.0,66.5,M,71.0,3,1.0,0.0
45,15,73.0,66.5,M,70.5,3,1.0,0.0
46,15,73.0,66.5,F,66.7,3,0.0,1.0
47,16,73.0,65.0,M,72.0,9,1.0,0.0
48,16,73.0,65.0,M,70.5,9,1.0,0.0
49,16,73.0,65.0,M,70.2,9,1.0,0.0
50,16,73.0,65.0,M,70.2,9,1.0,0.0
51,16,73.0,65.0,M,69.2,9,1.0,0.0
52,16,73.0,65.0,F,68.7,9,0.0,1.0
53,16,73.0,65.0,F,66.5,9,0.0,1.0
54,16,73.0,65.0,F,64.5,9,0.0,1.0
55,16,73.0,65.0,F,63.5,9,0.0,1.0
56,17,73.0,64.5,M,74.0,6,1.0,0.0
57,17,73.0,64.5,M,73.0,6,1.0,0.0
58,17,73.0,64.5,M,71.5,6,1.0,0.0
59,17,73.0,64.5,M,62.5,6,1.0,0.0
60,17,73.0,64.5,F,66.5,6,0.0,1.0
61,17,73.0,64.5,F,62.3,6,0.0,1.0
62,18,73.0,64.0,F,66.0,3,0.0,1.0
63,18,73.0,64.0,F,64.5,3,0.0,1.0
64,18,73.0,64.0,F,64.0,3,0.0,1.0
65,19,73.2,63.0,F,62.7,1,0.0,1.0
66,20,72.7,69.0,M,73.2,8,1.0,0.0
67,20,72.7,69.0,M,73.0,8,1.0,0.0
68,20,72.7,69.0,M,72.7,8,1.0,0.0
69,20,72.7,69.0,F,70.0,8,0.0,1.0
70,20,72.7,69.0,F,69.0,8,0.0,1.0
71,20,72.7,69.0,F,68.5,8,0.0,1.0
72,20,72.7,69.0,F,68.0,8,0.0,1.0
73,20,72.7,69.0,F,66.0,8,0.0,1.0
74,21,72.0,68.0,M,73.0,3,1.0,0.0
75,21,72.0,68.0,F,68.5,3,0.0,1.0
76,21,72.0,68.0,F,68.0,3,0.0,1.0
77,22,72.0,67.0,M,73.0,3,1.0,0.0
78,22,72.0,67.0,M,71.0,3,1.0,0.0
79,22,72.0,67.0,F,67.0,3,0.0,1.0
80,23,72.0,65.0,M,74.2,7,1.0,0.0
81,23,72.0,65.0,M,70.5,7,1.0,0.0
82,23,72.0,65.0,M,69.5,7,1.0,0.0
83,23,72.0,65.0,F,66.0,7,0.0,1.0
84,23,72.0,65.0,F,65.5,7,0.0,1.0
85,23,72.0,65.0,F,65.0,7,0.0,1.0
86,23,72.0,65.0,F,65.0,7,0.0,1.0
87,24,72.0,65.5,F,65.5,1,0.0,1.0
88,25,72.0,64.0,F,66.0,2,0.0,1.0
89,25,72.0,64.0,F,63.0,2,0.0,1.0
90,26,72.0,63.0,M,70.5,5,1.0,0.0
91,26,72.0,63.0,M,70.5,5,1.0,0.0
92,26,72.0,63.0,M,69.0,5,1.0,0.0
93,26,72.0,63.0,F,65.0,5,0.0,1.0
94,26,72.0,63.0,F,63.0,5,0.0,1.0
95,27,72.0,63.0,M,69.0,3,1.0,0.0
96,27,72.0,63.0,M,67.0,3,1.0,0.0
97,27,72.0,63.0,F,63.0,3,0.0,1.0
98,28,72.0,63.0,M,73.0,6,1.0,0.0
99,28,72.0,63.0,M,67.0,6,1.0,0.0
100,28,72.0,63.0,F,70.5,6,0.0,1.0
101,28,72.0,63.0,F,70.0,6,0.0,1.0
102,28,72.0,63.0,F,66.5,6,0.0,1.0
103,28,72.0,63.0,F,63.0,6,0.0,1.0
104,29,72.5,63.5,F,67.5,3,0.0,1.0
105,29,72.5,63.5,F,67.2,3,0.0,1.0
106,29,72.5,63.5,F,66.7,3,0.0,1.0
107,30,72.0,62.0,F,64.0,1,0.0,1.0
108,31,72.5,62.0,M,71.0,6,1.0,0.0
109,31,72.5,62.0,M,70.0,6,1.0,0.0
110,31,72.5,62.0,M,70.0,6,1.0,0.0
111,31,72.5,62.0,F,66.0,6,0.0,1.0
112,31,72.5,62.0,F,65.0,6,0.0,1.0
113,31,72.5,62.0,F,65.0,6,0.0,1.0
114,32,72.0,62.0,M,74.0,5,1.0,0.0
115,32,72.0,62.0,M,72.0,5,1.0,0.0
116,32,72.0,62.0,M,69.0,5,1.0,0.0
117,32,72.0,62.0,F,67.5,5,0.0,1.0
118,32,72.0,62.0,F,63.5,5,0.0,1.0
119,33,72.0,62.0,M,72.0,5,1.0,0.0
120,33,72.0,62.0,M,71.5,5,1.0,0.0
121,33,72.0,62.0,M,71.5,5,1.0,0.0
122,33,72.0,62.0,M,70.0,5,1.0,0.0
123,33,72.0,62.0,F,68.0,5,0.0,1.0
124,34,72.0,61.0,F,65.7,1,0.0,1.0
125,35,71.0,69.0,M,78.0,5,1.0,0.0
126,35,71.0,69.0,M,74.0,5,1.0,0.0
127,35,71.0,69.0,M,73.0,5,1.0,0.0
128,35,71.0,69.0,M,72.0,5,1.0,0.0
129,35,71.0,69.0,F,67.0,5,0.0,1.0
130,36,71.0,67.0,M,73.2,4,1.0,0.0
131,36,71.0,67.0,M,73.0,4,1.0,0.0
132,36,71.0,67.0,M,69.0,4,1.0,0.0
133,36,71.0,67.0,F,67.0,4,0.0,1.0
134,37,71.0,66.0,M,70.0,4,1.0,0.0
135,37,71.0,66.0,F,67.0,4,0.0,1.0
136,37,71.0,66.0,F,67.0,4,0.0,1.0
137,37,71.0,66.0,F,66.5,4,0.0,1.0
138,38,71.0,66.0,M,70.0,6,1.0,0.0
139,38,71.0,66.0,M,69.0,6,1.0,0.0
140,38,71.0,66.0,M,68.5,6,1.0,0.0
141,38,71.0,66.0,F,66.0,6,0.0,1.0
142,38,71.0,66.0,F,64.5,6,0.0,1.0
143,38,71.0,66.0,F,63.0,6,0.0,1.0
144,39,71.0,66.0,M,71.0,2,1.0,0.0
145,39,71.0,66.0,F,67.0,2,0.0,1.0
146,40,71.0,66.0,M,76.0,5,1.0,0.0
147,40,71.0,66.0,M,72.0,5,1.0,0.0
148,40,71.0,66.0,M,71.0,5,1.0,0.0
149,40,71.0,66.0,M,66.0,5,1.0,0.0
150,40,71.0,66.0,F,66.0,5,0.0,1.0
151,41,71.7,65.5,M,70.5,1,1.0,0.0
152,42,71.0,65.5,M,72.0,6,1.0,0.0
153,42,71.0,65.5,M,72.0,6,1.0,0.0
154,42,71.0,65.5,M,71.0,6,1.0,0.0
155,42,71.0,65.5,M,69.0,6,1.0,0.0
156,42,71.0,65.5,F,66.0,6,0.0,1.0
157,42,71.0,65.5,F,65.0,6,0.0,1.0
158,43,71.5,65.5,M,73.0,2,1.0,0.0
159,43,71.5,65.5,F,65.2,2,0.0,1.0
160,44,71.5,65.0,M,68.5,2,1.0,0.0
161,44,71.5,65.0,M,67.7,2,1.0,0.0
162,45,71.0,65.0,M,68.0,3,1.0,0.0
163,45,71.0,65.0,M,68.0,3,1.0,0.0
164,45,71.0,65.0,F,62.0,3,0.0,1.0
165,46,71.0,64.0,F,68.0,8,0.0,1.0
166,46,71.0,64.0,F,68.0,8,0.0,1.0
167,46,71.0,64.0,F,67.5,8,0.0,1.0
168,46,71.0,64.0,F,66.5,8,0.0,1.0
169,46,71.0,64.0,F,66.5,8,0.0,1.0
170,46,71.0,64.0,F,66.0,8,0.0,1.0
171,46,71.0,64.0,F,65.5,8,0.0,1.0
172,46,71.0,64.0,F,65.0,8,0.0,1.0
173,47,71.7,64.5,M,72.0,4,1.0,0.0
174,47,71.7,64.5,M,71.0,4,1.0,0.0
175,47,71.7,64.5,M,70.5,4,1.0,0.0
176,47,71.7,64.5,F,67.0,4,0.0,1.0
177,48,71.0,64.0,M,68.0,3,1.0,0.0
178,48,71.0,64.0,M,68.0,3,1.0,0.0
179,48,71.0,64.0,M,68.0,3,1.0,0.0
180,49,71.5,64.5,M,72.0,7,1.0,0.0
181,49,71.5,64.5,M,71.0,7,1.0,0.0
182,49,71.5,64.5,M,70.0,7,1.0,0.0
183,49,71.5,64.5,F,66.0,7,0.0,1.0
184,49,71.5,64.5,F,64.5,7,0.0,1.0
185,49,71.5,64.5,F,64.5,7,0.0,1.0
186,49,71.5,64.5,F,62.0,7,0.0,1.0
187,51,71.2,63.0,F,67.5,2,0.0,1.0
188,51,71.2,63.0,F,64.5,2,0.0,1.0
189,52,71.0,63.5,M,71.0,5,1.0,0.0
190,52,71.0,63.5,M,67.0,5,1.0,0.0
191,52,71.0,63.5,F,66.0,5,0.0,1.0
192,52,71.0,63.5,F,65.0,5,0.0,1.0
193,52,71.0,63.5,F,63.5,5,0.0,1.0
194,53,71.0,63.0,M,71.0,9,1.0,0.0
195,53,71.0,63.0,M,70.0,9,1.0,0.0
196,53,71.0,63.0,M,70.0,9,1.0,0.0
197,53,71.0,63.0,M,64.0,9,1.0,0.0
198,53,71.0,63.0,F,65.0,9,0.0,1.0
199,53,71.0,63.0,F,65.0,9,0.0,1.0
200,53,71.0,63.0,F,64.0,9,0.0,1.0
201,53,71.0,63.0,F,63.0,9,0.0,1.0
202,53,71.0,63.0,F,63.0,9,0.0,1.0
203,54,71.0,63.0,M,71.0,4,1.0,0.0
204,54,71.0,63.0,M,71.0,4,1.0,0.0
205,54,71.0,63.0,M,70.0,4,1.0,0.0
206,54,71.0,63.0,F,63.5,4,0.0,1.0
207,55,71.0,62.0,M,71.0,5,1.0,0.0
208,55,71.0,62.0,M,70.0,5,1.0,0.0
209,55,71.0,62.0,F,64.5,5,0.0,1.0
210,55,71.0,62.0,F,62.5,5,0.0,1.0
211,55,71.0,62.0,F,61.5,5,0.0,1.0
212,56,71.0,62.0,M,72.0,5,1.0,0.0
213,56,71.0,62.0,M,70.5,5,1.0,0.0
214,56,71.0,62.0,M,70.5,5,1.0,0.0
215,56,71.0,62.0,F,64.5,5,0.0,1.0
216,56,71.0,62.0,F,60.0,5,0.0,1.0
217,57,71.0,62.5,M,70.0,5,1.0,0.0
218,57,71.0,62.5,F,64.0,5,0.0,1.0
219,57,71.0,62.5,F,64.0,5,0.0,1.0
220,57,71.0,62.5,F,64.0,5,0.0,1.0
221,57,71.0,62.5,F,62.5,5,0.0,1.0
222,58,71.0,62.0,M,70.5,7,1.0,0.0
223,58,71.0,62.0,M,70.0,7,1.0,0.0
224,58,71.0,62.0,M,69.0,7,1.0,0.0
225,58,71.0,62.0,M,69.0,7,1.0,0.0
226,58,71.0,62.0,M,66.0,7,1.0,0.0
227,58,71.0,62.0,F,64.5,7,0.0,1.0
228,58,71.0,62.0,F,64.0,7,0.0,1.0
229,59,71.0,61.0,F,62.0,1,0.0,1.0
230,60,71.0,58.0,M,71.5,2,1.0,0.0
231,60,71.0,58.0,M,69.0,2,1.0,0.0
232,61,70.0,69.0,M,71.0,4,1.0,0.0
233,61,70.0,69.0,M,70.0,4,1.0,0.0
234,61,70.0,69.0,M,69.0,4,1.0,0.0
235,61,70.0,69.0,F,69.0,4,0.0,1.0
236,62,70.0,69.0,M,70.0,6,1.0,0.0
237,62,70.0,69.0,M,68.7,6,1.0,0.0
238,62,70.0,69.0,F,68.0,6,0.0,1.0
239,62,70.0,69.0,F,66.0,6,0.0,1.0
240,62,70.0,69.0,F,64.0,6,0.0,1.0
241,62,70.0,69.0,F,62.0,6,0.0,1.0
242,63,70.0,68.0,M,75.0,1,1.0,0.0
243,64,70.0,67.0,M,70.0,5,1.0,0.0
244,64,70.0,67.0,M,69.0,5,1.0,0.0
245,64,70.0,67.0,F,66.0,5,0.0,1.0
246,64,70.0,67.0,F,64.0,5,0.0,1.0
247,64,70.0,67.0,F,60.0,5,0.0,1.0
248,65,70.0,67.0,F,67.5,1,0.0,1.0
249,66,70.0,66.5,M,73.0,11,1.0,0.0
250,66,70.0,66.5,M,72.0,11,1.0,0.0
251,66,70.0,66.5,M,72.0,11,1.0,0.0
252,66,70.0,66.5,M,66.5,11,1.0,0.0
253,66,70.0,66.5,F,69.2,11,0.0,1.0
254,66,70.0,66.5,F,67.2,11,0.0,1.0
255,66,70.0,66.5,F,66.5,11,0.0,1.0
256,66,70.0,66.5,F,66.0,11,0.0,1.0
257,66,70.0,66.5,F,66.0,11,0.0,1.0
258,66,70.0,66.5,F,64.2,11,0.0,1.0
259,66,70.0,66.5,F,63.7,11,0.0,1.0
260,67,70.5,65.0,M,72.0,4,1.0,0.0
261,67,70.5,65.0,M,70.2,4,1.0,0.0
262,67,70.5,65.0,M,69.0,4,1.0,0.0
263,67,70.5,65.0,M,68.5,4,1.0,0.0
264,68,70.5,65.0,F,68.0,5,0.0,1.0
265,68,70.5,65.0,F,65.0,5,0.0,1.0
266,68,70.5,65.0,F,61.5,5,0.0,1.0
267,68,70.5,65.0,F,61.0,5,0.0,1.0
268,68,70.5,65.0,F,61.0,5,0.0,1.0
269,69,70.0,65.0,M,73.0,8,1.0,0.0
270,69,70.0,65.0,M,72.0,8,1.0,0.0
271,69,70.0,65.0,M,70.5,8,1.0,0.0
272,69,70.0,65.0,M,65.0,8,1.0,0.0
273,69,70.0,65.0,M,65.0,8,1.0,0.0
274,69,70.0,65.0,F,64.5,8,0.0,1.0
275,69,70.0,65.0,F,63.0,8,0.0,1.0
276,69,70.0,65.0,F,62.0,8,0.0,1.0
277,70,70.0,65.0,M,67.0,5,1.0,0.0
278,70,70.0,65.0,M,65.0,5,1.0,0.0
279,70,70.0,65.0,F,64.5,5,0.0,1.0
280,70,70.0,65.0,F,62.5,5,0.0,1.0
281,70,70.0,65.0,F,62.5,5,0.0,1.0
282,71,70.0,65.0,M,70.0,6,1.0,0.0
283,71,70.0,65.0,M,70.0,6,1.0,0.0
284,71,70.0,65.0,F,67.0,6,0.0,1.0
285,71,70.0,65.0,F,65.0,6,0.0,1.0
286,71,70.0,65.0,F,65.0,6,0.0,1.0
287,71,70.0,65.0,F,63.0,6,0.0,1.0
288,72,70.0,65.0,M,79.0,7,1.0,0.0
289,72,70.0,65.0,M,75.0,7,1.0,0.0
290,72,70.0,65.0,M,71.0,7,1.0,0.0
291,72,70.0,65.0,F,69.0,7,0.0,1.0
292,72,70.0,65.0,F,67.0,7,0.0,1.0
293,72,70.0,65.0,F,65.7,7,0.0,1.0
294,72,70.0,65.0,F,62.0,7,0.0,1.0
295,73,70.0,65.0,M,73.0,3,1.0,0.0
296,73,70.0,65.0,M,72.5,3,1.0,0.0
297,73,70.0,65.0,F,65.0,3,0.0,1.0
298,74,70.0,65.0,M,69.0,2,1.0,0.0
299,74,70.0,65.0,M,69.0,2,1.0,0.0
300,75,70.0,64.7,M,72.0,7,1.0,0.0
301,75,70.0,64.7,M,70.0,7,1.0,0.0
302,75,70.0,64.7,M,68.7,7,1.0,0.0
303,75,70.0,64.7,F,66.5,7,0.0,1.0
304,75,70.0,64.7,F,65.5,7,0.0,1.0
305,75,70.0,64.7,F,64.7,7,0.0,1.0
306,75,70.0,64.7,F,64.5,7,0.0,1.0
307,76,70.0,64.0,M,70.7,7,1.0,0.0
308,76,70.0,64.0,M,70.0,7,1.0,0.0
309,76,70.0,64.0,M,68.0,7,1.0,0.0
310,76,70.0,64.0,M,67.0,7,1.0,0.0
311,76,70.0,64.0,M,66.0,7,1.0,0.0
312,76,70.0,64.0,M,65.0,7,1.0,0.0
313,76,70.0,64.0,F,67.0,7,0.0,1.0
314,77,70.0,64.0,M,70.0,4,1.0,0.0
315,77,70.0,64.0,M,68.0,4,1.0,0.0
316,77,70.0,64.0,M,66.7,4,1.0,0.0
317,77,70.0,64.0,F,65.5,4,0.0,1.0
318,78,70.0,64.2,M,72.0,5,1.0,0.0
319,78,70.0,64.2,M,70.0,5,1.0,0.0
320,78,70.0,64.2,F,62.5,5,0.0,1.0
321,78,70.0,64.2,F,61.2,5,0.0,1.0
322,78,70.0,64.2,F,60.1,5,0.0,1.0
323,79,70.5,64.0,M,74.0,8,1.0,0.0
324,79,70.5,64.0,M,69.5,8,1.0,0.0
325,79,70.5,64.0,M,69.0,8,1.0,0.0
326,79,70.5,64.0,M,68.0,8,1.0,0.0
327,79,70.5,64.0,M,68.0,8,1.0,0.0
328,79,70.5,64.0,M,68.0,8,1.0,0.0
329,79,70.5,64.0,F,65.5,8,0.0,1.0
330,79,70.5,64.0,F,65.0,8,0.0,1.0
331,80,70.5,64.5,F,60.0,1,0.0,1.0
332,81,70.0,64.0,M,68.0,4,1.0,0.0
333,81,70.0,64.0,F,65.0,4,0.0,1.0
334,81,70.0,64.0,F,64.0,4,0.0,1.0
335,81,70.0,64.0,F,62.0,4,0.0,1.0
336,82,70.0,64.0,M,71.0,9,1.0,0.0
337,82,70.0,64.0,M,70.0,9,1.0,0.0
338,82,70.0,64.0,M,70.0,9,1.0,0.0
339,82,70.0,64.0,M,70.0,9,1.0,0.0
340,82,70.0,64.0,M,69.5,9,1.0,0.0
341,82,70.0,64.0,M,68.5,9,1.0,0.0
342,82,70.0,64.0,F,69.0,9,0.0,1.0
343,82,70.0,64.0,F,65.0,9,0.0,1.0
344,82,70.0,64.0,F,64.0,9,0.0,1.0
345,83,70.0,63.7,M,70.0,8,1.0,0.0
346,83,70.0,63.7,M,67.0,8,1.0,0.0
347,83,70.0,63.7,M,65.5,8,1.0,0.0
348,83,70.0,63.7,F,63.7,8,0.0,1.0
349,83,70.0,63.7,F,63.2,8,0.0,1.0
350,83,70.0,63.7,F,62.5,8,0.0,1.0
351,83,70.0,63.7,F,62.2,8,0.0,1.0
352,83,70.0,63.7,F,61.0,8,0.0,1.0
353,85,70.5,63.0,M,72.5,5,1.0,0.0
354,85,70.5,63.0,M,69.0,5,1.0,0.0
355,85,70.5,63.0,M,67.0,5,1.0,0.0
356,85,70.5,63.0,F,64.5,5,0.0,1.0
357,85,70.5,63.0,F,64.0,5,0.0,1.0
358,86,70.0,63.5,M,71.0,4,1.0,0.0
359,86,70.0,63.5,M,67.5,4,1.0,0.0
360,86,70.0,63.5,F,67.5,4,0.0,1.0
361,86,70.0,63.5,F,63.5,4,0.0,1.0
362,87,70.0,63.0,M,68.0,4,1.0,0.0
363,87,70.0,63.0,M,67.0,4,1.0,0.0
364,87,70.0,63.0,F,63.7,4,0.0,1.0
365,87,70.0,63.0,F,62.0,4,0.0,1.0
366,88,70.0,63.0,M,70.0,4,1.0,0.0
367,88,70.0,63.0,M,66.5,4,1.0,0.0
368,88,70.0,63.0,F,62.0,4,0.0,1.0
369,88,70.0,63.0,F,61.0,4,0.0,1.0
370,89,70.5,62.0,M,72.0,8,1.0,0.0
371,89,70.5,62.0,M,70.0,8,1.0,0.0
372,89,70.5,62.0,M,69.5,8,1.0,0.0
373,89,70.5,62.0,M,69.5,8,1.0,0.0
374,89,70.5,62.0,M,68.0,8,1.0,0.0
375,89,70.5,62.0,F,65.0,8,0.0,1.0
376,89,70.5,62.0,F,64.0,8,0.0,1.0
377,89,70.5,62.0,F,63.0,8,0.0,1.0
378,90,70.3,62.7,M,70.7,7,1.0,0.0
379,90,70.3,62.7,M,69.7,7,1.0,0.0
380,90,70.3,62.7,M,69.2,7,1.0,0.0
381,90,70.3,62.7,M,65.2,7,1.0,0.0
382,90,70.3,62.7,F,64.0,7,0.0,1.0
383,90,70.3,62.7,F,63.5,7,0.0,1.0
384,90,70.3,62.7,F,63.2,7,0.0,1.0
385,91,70.5,62.0,M,72.0,3,1.0,0.0
386,91,70.5,62.0,M,72.0,3,1.0,0.0
387,91,70.5,62.0,F,60.0,3,0.0,1.0
388,92,70.0,61.0,M,71.2,2,1.0,0.0
389,92,70.0,61.0,M,67.0,2,1.0,0.0
390,93,70.0,60.0,M,67.0,4,1.0,0.0
391,93,70.0,60.0,M,64.5,4,1.0,0.0
392,93,70.0,60.0,F,65.0,4,0.0,1.0
393,93,70.0,60.0,F,63.0,4,0.0,1.0
394,94,70.0,60.0,F,65.0,2,0.0,1.0
395,94,70.0,60.0,F,65.0,2,0.0,1.0
396,95,70.0,58.5,M,71.5,3,1.0,0.0
397,95,70.0,58.5,M,64.5,3,1.0,0.0
398,95,70.0,58.5,F,63.0,3,0.0,1.0
399,96,70.0,58.0,M,72.0,5,1.0,0.0
400,96,70.0,58.0,M,66.0,5,1.0,0.0
401,96,70.0,58.0,F,66.0,5,0.0,1.0
402,96,70.0,58.0,F,65.0,5,0.0,1.0
403,96,70.0,58.0,F,63.0,5,0.0,1.0
404,97,69.0,68.5,M,75.0,10,1.0,0.0
405,97,69.0,68.5,M,71.0,10,1.0,0.0
406,97,69.0,68.5,M,70.0,10,1.0,0.0
407,97,69.0,68.5,F,66.0,10,0.0,1.0
408,97,69.0,68.5,F,66.0,10,0.0,1.0
409,97,69.0,68.5,F,65.5,10,0.0,1.0
410,97,69.0,68.5,F,65.0,10,0.0,1.0
411,97,69.0,68.5,F,65.0,10,0.0,1.0
412,97,69.0,68.5,F,64.0,10,0.0,1.0
413,97,69.0,68.5,F,64.0,10,0.0,1.0
414,98,69.0,67.0,F,64.0,1,0.0,1.0
415,99,69.0,66.0,M,73.0,8,1.0,0.0
416,99,69.0,66.0,M,72.0,8,1.0,0.0
417,99,69.0,66.0,M,71.7,8,1.0,0.0
418,99,69.0,66.0,M,71.5,8,1.0,0.0
419,99,69.0,66.0,F,65.5,8,0.0,1.0
420,99,69.0,66.0,F,65.0,8,0.0,1.0
421,99,69.0,66.0,F,62.7,8,0.0,1.0
422,99,69.0,66.0,F,62.5,8,0.0,1.0
423,100,69.0,66.0,M,71.2,3,1.0,0.0
424,100,69.0,66.0,M,71.0,3,1.0,0.0
425,100,69.0,66.0,M,70.0,3,1.0,0.0
426,101,69.0,66.7,M,75.0,6,1.0,0.0
427,101,69.0,66.7,M,74.0,6,1.0,0.0
428,101,69.0,66.7,M,72.0,6,1.0,0.0
429,101,69.0,66.7,M,68.5,6,1.0,0.0
430,101,69.0,66.7,M,67.0,6,1.0,0.0
431,101,69.0,66.7,M,66.0,6,1.0,0.0
432,102,69.0,66.0,M,70.0,6,1.0,0.0
433,102,69.0,66.0,M,68.5,6,1.0,0.0
434,102,69.0,66.0,M,68.0,6,1.0,0.0
435,102,69.0,66.0,F,65.0,6,0.0,1.0
436,102,69.0,66.0,F,63.0,6,0.0,1.0
437,102,69.0,66.0,F,62.5,6,0.0,1.0
438,103,69.0,66.5,M,73.0,5,1.0,0.0
439,103,69.0,66.5,M,71.0,5,1.0,0.0
440,103,69.0,66.5,M,70.5,5,1.0,0.0
441,103,69.0,66.5,M,70.5,5,1.0,0.0
442,103,69.0,66.5,F,61.0,5,0.0,1.0
443,104,69.5,66.5,M,70.5,4,1.0,0.0
444,104,69.5,66.5,M,67.5,4,1.0,0.0
445,104,69.5,66.5,F,64.5,4,0.0,1.0
446,104,69.5,66.5,F,64.0,4,0.0,1.0
447,105,69.0,66.5,M,71.0,6,1.0,0.0
448,105,69.0,66.5,F,68.5,6,0.0,1.0
449,105,69.0,66.5,F,67.5,6,0.0,1.0
450,105,69.0,66.5,F,66.0,6,0.0,1.0
451,105,69.0,66.5,F,63.0,6,0.0,1.0
452,105,69.0,66.5,F,63.0,6,0.0,1.0
453,106,69.5,66.0,M,71.0,7,1.0,0.0
454,106,69.5,66.0,M,71.0,7,1.0,0.0
455,106,69.5,66.0,M,70.5,7,1.0,0.0
456,106,69.5,66.0,M,70.5,7,1.0,0.0
