time,agr,arts,astro,busin,chem,cs,earth,engin,law,math,med,phys,ss
1,1,2,1,3,0,0,3,3,2,2,5,1,312
2,4,22,0,0,0,2,4,0,2,0,1,0,52
3,0,0,0,1,0,1,0,0,3,0,4,0,57
4,0,5,0,4,0,4,6,1,3,3,5,1,127
5,4,15,1,2,1,2,5,1,3,0,10,1,75
6,5,37,0,2,0,2,10,0,13,1,10,0,136
7,7,9,7,5,0,7,17,0,6,2,11,0,186
8,9,21,5,2,3,12,35,4,4,2,34,1,337
9,91,143,113,71,10,125,244,28,24,16,266,23,5043
10,100,136,87,74,32,131,261,51,46,55,678,35,2526
11,276,108,73,58,37,190,248,64,58,24,543,20,2296
12,410,127,182,89,44,233,287,110,54,43,752,233,3125
13,383,156,248,151,102,273,403,178,69,61,798,165,2557
14,432,187,213,179,109,424,647,219,3784,83,1237,201,7301
15,465,16546,128,275,121,456,660,279,762,96,1372,288,4492
16,7,3,1,2,0,3,12,0,1,2,23,0,68